Ticker,volume,volumeAvg,openPrice,closePrice,highPrice,lowPrice,unixTimestamp,numTransactions
BG,810100.0,98.2227,98.85,97.55,99.325,97.55,2023-02-16,13727.0
DIT,290.0,171.2975,170.86,171.51,171.51,170.86,2023-02-16,16.0
CEVA,126469.0,33.2587,34.98,32.65,34.98,32.58,2023-02-16,3041.0
OSCR,2016451.0,5.6913,5.58,5.61,5.8899,5.51,2023-02-16,12929.0
JWN,3432922.0,22.1581,21.87,21.97,22.585,21.67,2023-02-16,37561.0
SMID,12344.0,20.7576,20.76,21.12,22.08,20.2201,2023-02-16,581.0
BUSE,116941.0,24.5289,24.56,24.51,24.65,24.36,2023-02-16,2368.0
TU,1113602.0,20.3035,20.32,20.28,20.49,20.08,2023-02-16,7845.0
CLBT,515900.0,5.9559,5.91,5.95,6.09,5.72,2023-02-16,5036.0
PODD,608372.0,300.0018,294.84,298.91,303.99,292.1801,2023-02-16,11529.0
ALPP,25366.5,5.1384,5.3448,5.0712,5.3448,5.0424,2023-02-16,495.0
TAL,9192745.0,7.6308,7.5,7.73,7.77,7.32,2023-02-16,35224.0
DXPE,40184.0,30.0815,29.95,30.1,30.34,29.83,2023-02-16,1098.0
CDL,17812.0,60.9682,60.76,60.83,61.31,60.67,2023-02-16,177.0
AJRD,1038285.0,56.052,56.06,56.0,56.2,55.91,2023-02-16,9385.0
MHF,19728.0,6.6339,6.66,6.63,6.66,6.61,2023-02-16,96.0
JELD,436607.0,13.1801,13.11,13.14,13.33,12.89,2023-02-16,4765.0
WEST,64703.0,11.9413,11.69,12.0,12.0499,11.67,2023-02-16,943.0
KELYA,401466.0,16.0673,17.29,16.27,17.48,15.32,2023-02-16,6819.0
GP,122240.0,2.9766,3.07,2.92,3.09,2.86,2023-02-16,847.0
FMNB,123137.0,14.2451,14.23,14.17,14.3579,14.15,2023-02-16,2704.0
SYRS,54258.0,4.0854,4.09,4.02,4.18,4.01,2023-02-16,841.0
RLTY,56961.0,15.5482,15.42,15.48,15.64,15.31,2023-02-16,280.0
RMT,81827.0,9.6077,9.56,9.6,9.67,9.471,2023-02-16,534.0
CXH,29411.0,7.3302,7.4,7.33,7.4,7.31,2023-02-16,103.0
ITB,2769329.0,69.9069,69.5,69.82,70.345,69.1,2023-02-16,23109.0
OSUR,1962428.0,5.8779,5.48,5.8,6.05,5.43,2023-02-16,15361.0
GNUS,646545.0,3.7887,3.74,3.81,3.94,3.6,2023-02-16,5624.0
FICVW,6149.0,0.11900000000000001,0.1116,0.1101,0.1301,0.1101,2023-02-16,70.0
TPC,238454.0,8.7898,8.66,8.8,8.89,8.64,2023-02-16,2685.0
JPMB,22479.0,38.9256,39.0,38.8227,39.0,38.82,2023-02-16,129.0
ENFR,23163.0,21.9854,21.92,21.94,22.11,21.8162,2023-02-16,157.0
STEW,49043.0,12.9386,12.98,12.95,12.98,12.8801,2023-02-16,262.0
PIPR,78444.0,153.8447,153.28,153.86,154.89,152.745,2023-02-16,2417.0
HOFT,48591.0,20.872700000000002,20.66,21.07,21.12,20.51,2023-02-16,1175.0
UBT,159323.0,25.0849,25.21,25.0,25.28,24.85,2023-02-16,733.0
NIpB,37467.0,25.4228,25.42,25.24,25.54,25.24,2023-02-16,707.0
ETR,3080927.0,108.2922,106.65,108.27,110.06,106.47,2023-02-16,41015.0
IEI,2473492.0,114.9717,114.97,114.93,115.135,114.82,2023-02-16,6808.0
VRAR,180449.0,4.7492,4.99,4.585,4.99,4.55,2023-02-16,1022.0
AMPS,534848.0,7.3247,7.61,7.18,7.61,7.17,2023-02-16,6336.0
BGXX,906442.0,1.0202,1.02,1.04,1.05,0.9901000000000001,2023-02-16,6140.0
EPOW,8728.0,3.2984,3.32,3.3,3.32,3.26,2023-02-16,68.0
KNSW,18872.0,10.3599,10.33,10.33,10.580400000000001,10.33,2023-02-16,79.0
AGNCL,11393.0,23.4469,23.4,23.4153,23.5,23.4,2023-02-16,165.0
NLY,3880865.0,21.6808,21.45,21.71,21.88,21.35,2023-02-16,25044.0
IDRV,53575.0,41.604,41.37,41.22,41.99,41.02,2023-02-16,700.0
ENR,399929.0,35.7387,35.4,35.69,36.07,35.32,2023-02-16,6301.0
PSMT,75471.0,72.4398,72.29,72.34,73.11,71.58,2023-02-16,2840.0
MARK,1301841.0,2.0627,1.98,1.97,2.2299,1.8900000000000001,2023-02-16,4804.0
LVTX,364359.0,3.1397,3.26,2.7,3.6324,2.6647,2023-02-16,979.0
ACOR,3622.1,18.422,17.8,18.2,19.0,17.6,2023-02-16,189.0
HCKT,123885.0,21.787,21.69,21.8,21.95,21.58,2023-02-16,2844.0
WTT,8801.0,1.9323000000000001,1.8900000000000001,1.94,1.96,1.8900000000000001,2023-02-16,56.0
TRND,492.0,27.6361,27.62,27.5428,27.73,27.5428,2023-02-16,8.0
MAPS,496137.0,1.3089,1.25,1.31,1.34,1.24,2023-02-16,3253.0
PAYS,81642.0,3.3811,3.2800000000000002,3.41,3.45,3.251,2023-02-16,816.0
VOT,164169.0,201.6389,200.65,200.41,202.68,199.92,2023-02-16,2723.0
FRCpN,69405.0,19.0009,19.06,18.95,19.06,18.9,2023-02-16,487.0
IEDI,9244.0,39.0321,38.86,38.8093,39.09,38.8093,2023-02-16,32.0
TSL,238434.0,15.612,15.54,14.7564,16.19,14.7564,2023-02-16,680.0
KORU,384099.0,9.25,9.1,9.25,9.43,9.08,2023-02-16,3110.0
IUSV,342119.0,76.1002,75.76,75.76,76.46,75.55,2023-02-16,1887.0
BSMU,2001.0,22.0321,22.06,21.96,22.06,21.96,2023-02-16,23.0
BRFS,11108508.0,1.2852999999999999,1.24,1.32,1.35,1.235,2023-02-16,11034.0
LVWR,31117.0,7.8879,7.5600000000000005,7.28,8.15,7.1,2023-02-16,326.0
EXPE,3251045.0,113.2087,113.762,111.53,114.8799,111.24,2023-02-16,52607.0
MSC,27129.0,6.9225,6.92,6.945,7.32,6.7097,2023-02-16,276.0
JLL,227938.0,176.9255,177.17,175.77,179.8099,175.425,2023-02-16,6250.0
SNN,623628.0,27.8031,27.81,27.67,27.925,27.6511,2023-02-16,6528.0
TCBIO,19703.0,21.9552,21.9,22.0,22.0999,21.78,2023-02-16,137.0
RWT,701557.0,8.0262,7.95,8.01,8.09,7.93,2023-02-16,5173.0
GORO,1482492.0,1.0616,1.07,1.04,1.08,1.04,2023-02-16,4631.0
WRBpG,5002.0,19.3221,19.36,19.28,19.36,19.1901,2023-02-16,31.0
MUE,54233.0,10.1047,10.15,10.1,10.15,10.07,2023-02-16,336.0
WT,3058675.0,6.2146,6.09,6.21,6.25,6.04,2023-02-16,10925.0
GPJA,7786.0,23.6908,23.83,23.64,23.83,23.5269,2023-02-16,83.0
SLYG,140457.0,78.8157,78.62,78.63,79.286,77.97,2023-02-16,1315.0
EMGF,86658.0,42.1587,41.9,42.091,42.33,41.87,2023-02-16,539.0
DHC,5840198.0,0.7663000000000001,0.7305,0.8024,0.8151,0.72,2023-02-16,12944.0
TUYA,327598.0,2.7202,2.68,2.7,2.7800000000000002,2.62,2023-02-16,2561.0
ATCO,1077675.0,15.3334,15.33,15.33,15.35,15.32,2023-02-16,3420.0
DFRA,1971.0,27.1348,26.87,27.0696,27.2759,26.87,2023-02-16,19.0
SPFF,141555.0,10.202,10.22,10.18,10.22,10.16,2023-02-16,379.0
GGE,4751.0,2.1566,2.21,2.14,2.21,2.1,2023-02-16,51.0
LIXT,46995.6,10.983,11.3,11.7,11.9,10.1,2023-02-16,1200.0
SPSK,50908.0,17.7781,17.75,17.76,17.82,17.7119,2023-02-16,2325.0
ECOR,38646.0,3.9701,3.93,3.9999000000000002,4.16,3.75,2023-02-16,437.0
HAPP,8190.0,4.7113,4.7,4.79,4.79,4.68,2023-02-16,95.0
SPT,438380.0,62.9069,62.87,62.3,63.84,61.08,2023-02-16,8465.0
NSL,35752.0,4.9221,4.93,4.92,4.93,4.9,2023-02-16,195.0
AGM,46479.0,138.7035,137.57,138.27,140.37,134.8,2023-02-16,1531.0
MERC,462102.0,11.5035,11.36,11.45,11.67,11.12,2023-02-16,6882.0
IDLV,85588.0,27.3824,27.23,27.31,27.49,27.22,2023-02-16,848.0
TANNL,49085.0,25.337,25.45,25.41,25.45,25.25,2023-02-16,199.0
NEP,270296.0,72.3821,72.22,72.14,72.8124,71.93,2023-02-16,5858.0
BYND,3191037.0,17.4495,17.06,17.1,17.99,17.01,2023-02-16,22821.0
JGH,50528.0,11.9772,12.0,11.89,12.03,11.89,2023-02-16,207.0
BACpE,39193.0,20.7225,20.64,20.58,21.0069,20.57,2023-02-16,233.0
CNDT,956869.0,4.1651,4.12,4.17,4.23,4.04,2023-02-16,7261.0
LETB,4649.0,22.674,22.49,22.6981,22.7114,22.49,2023-02-16,38.0
BEN,2028057.0,31.3505,31.19,31.2,31.595,30.9451,2023-02-16,20775.0
WES,667157.0,28.5224,28.08,28.38,28.7,28.08,2023-02-16,8011.0
AP,53223.0,2.9455999999999998,3.03,2.91,3.03,2.83,2023-02-16,193.0
SPYG,1405986.0,54.4093,54.17,54.01,54.73,53.9981,2023-02-16,11453.0
DY,434669.0,80.525,79.64,80.3,82.24,79.11,2023-02-16,8468.0
RDVI,53825.0,23.2711,24.76,23.04,24.76,22.86,2023-02-16,143.0
NCZ,877511.0,3.2793,3.29,3.3,3.3,3.25,2023-02-16,2044.0
VCV,105828.0,9.8818,9.94,9.85,9.96,9.82,2023-02-16,441.0
GWW,192986.0,671.3393,667.24,670.09,675.58,665.32,2023-02-16,8488.0
ZTS,1951185.0,174.4896,173.63,173.93,176.48,172.5,2023-02-16,35821.0
CYRN,85922.0,0.4423,0.45,0.45030000000000003,0.457,0.41500000000000004,2023-02-16,303.0
ZG,1508172.0,47.0723,46.74,47.05,48.48,44.36,2023-02-16,23654.0
SMG,1560343.0,86.9433,84.05,87.19,88.61,83.1306,2023-02-16,24427.0
BCYC,613577.0,24.5622,24.5,24.42,25.18,24.0,2023-02-16,5873.0
RFMZ,55629.0,14.1054,14.27,14.09,14.27,14.06,2023-02-16,200.0
SSU,20181.0,4.6318,4.69,4.59,4.88,4.47,2023-02-16,253.0
NXTC,80724.0,1.5481,1.54,1.54,1.58,1.52,2023-02-16,247.0
ABUS,733832.0,2.6769,2.68,2.65,2.7199999999999998,2.65,2023-02-16,4874.0
UDR,2696951.0,44.9932,44.29,44.97,45.46,44.19,2023-02-16,25106.0
PBYI,266241.0,4.1701,4.23,4.17,4.24,4.09,2023-02-16,2740.0
ITM,318696.0,45.8542,46.1,45.78,46.11,45.7742,2023-02-16,1023.0
CIMpB,11042.0,22.6532,22.57,22.56,22.93,22.4122,2023-02-16,129.0
AMLI,303130.0,3.1542,3.11,3.15,3.22,3.06,2023-02-16,1679.0
YOSH,300.5,14.974,14.6,14.7,15.4,14.5,2023-02-16,40.0
LXPpC,7369.0,48.9743,49.0,49.25,49.25,48.825,2023-02-16,41.0
DNUT,1269276.0,13.4853,13.0,13.58,13.67,12.97,2023-02-16,13901.0
DFH,90831.0,12.194,12.07,12.12,12.44,11.83,2023-02-16,1966.0
RDCM,11441.0,10.3098,10.33,10.4,10.4101,10.2,2023-02-16,61.0
SOFI,30457990.0,7.0978,7.0738,6.98,7.28,6.95,2023-02-16,65704.0
RKDA,9379.325,10.36,10.8,10.792,10.8,10.0,2023-02-16,530.0
URNM,273599.0,35.5667,35.89,35.43,35.98,35.07,2023-02-16,2320.0
GFF,378032.0,40.0848,39.69,39.96,40.71,39.435,2023-02-16,5584.0
NXG,7725.0,40.8227,40.73,40.5569,41.18,40.54,2023-02-16,60.0
IYJ,38467.0,102.8502,102.32,102.32,103.32,102.1,2023-02-16,479.0
DBA,659771.0,20.3344,20.25,20.38,20.3999,20.25,2023-02-16,1675.0
CHGG,2275305.0,16.8128,16.88,16.64,16.985,16.62,2023-02-16,18581.0
DISV,219075.0,24.0686,24.05,24.01,24.15,23.87,2023-02-16,832.0
AAU,162585.0,0.2238,0.224,0.2235,0.22970000000000002,0.22,2023-02-16,258.0
GEM,64997.0,30.096,29.87,30.07,30.19,29.84,2023-02-16,437.0
DBI,1443285.0,10.387,10.36,10.31,10.57,10.22,2023-02-16,12947.0
RDVT,24394.0,22.0201,22.71,21.31,22.71,21.31,2023-02-16,737.0
ACER,173800.0,2.1975,2.08,2.22,2.32,2.07,2023-02-16,1044.0
TMV,1813000.0,31.3345,31.23,31.6175,31.8531,31.0609,2023-02-16,5856.0
SIRI,21546482.0,4.6479,4.68,4.61,4.71,4.6,2023-02-16,37114.0
RVP,7714.0,1.9978,1.97,1.99,2.01,1.97,2023-02-16,102.0
NMZ,458434.0,10.5086,10.58,10.44,10.58,10.41,2023-02-16,1764.0
ITOS,210005.0,18.0328,18.35,18.01,18.56,17.79,2023-02-16,4000.0
ELV,640084.0,488.499,486.95,486.99,492.005,485.9269,2023-02-16,16786.0
GDOT,479971.0,18.5604,18.2,18.56,18.82,18.01,2023-02-16,5352.0
RYAN,315109.0,42.8425,42.55,42.92,43.01,42.421,2023-02-16,6054.0
CFR,403211.0,130.3141,130.61,129.4,131.68,129.37,2023-02-16,9563.0
NOMD,1185895.0,17.3629,17.55,17.28,17.62,17.03,2023-02-16,9519.0
GH,3515933.0,29.2628,28.6,28.69,29.76,28.46,2023-02-16,25539.0
ERX,517059.0,66.5307,66.29,65.63,67.38,65.5201,2023-02-16,4784.0
CIMpC,18561.0,20.7666,20.78,20.72,20.8999,20.65,2023-02-16,121.0
BLNKW,997.0,6.8269,6.59,10.0499,10.0499,6.26,2023-02-16,16.0
PETQ,244733.0,11.0508,10.88,11.0,11.27,10.785,2023-02-16,3844.0
EPM,175678.0,6.4423,6.34,6.36,6.54,6.34,2023-02-16,2532.0
UNVR,799249.0,34.6859,34.33,34.58,34.98,34.14,2023-02-16,10475.0
ISR,267899.0,0.371,0.35000000000000003,0.3839,0.394,0.35000000000000003,2023-02-16,679.0
MGM,3860876.0,44.4749,43.71,44.2,44.959,43.52,2023-02-16,41454.0
BJRI,607962.0,34.7675,33.36,34.58,35.5,33.36,2023-02-16,9942.0
GDXD,594202.0,8.1653,8.25,8.0699,8.48,7.8100000000000005,2023-02-16,1955.0
GLPpA,3760.0,26.5646,26.58,26.48,26.5999,26.48,2023-02-16,26.0
OCX,11612.25,8.39,9.0,8.204,9.0,7.822,2023-02-16,651.0
DOC,1434215.0,15.7767,15.57,15.77,15.9,15.53,2023-02-16,11166.0
SNDA,15270.0,12.9404,13.14,13.03,13.14,12.735,2023-02-16,260.0
ROBT,131005.0,42.2438,41.89,42.01,42.4792,41.64,2023-02-16,440.0
SHPH,67553.0,1.9594,2.02,2.01,2.02,1.8917000000000002,2023-02-16,359.0
COMT,227217.0,27.6163,27.55,27.55,27.735,27.54,2023-02-16,1232.0
FRC,1447665.0,131.4905,131.74,130.72,133.019,130.18,2023-02-16,24182.0
IBDX,8367.0,24.4621,24.51,24.4178,24.51,24.3901,2023-02-16,76.0
FHB,271643.0,26.872,26.88,26.82,27.035,26.72,2023-02-16,6218.0
AOSL,231441.0,29.5235,29.86,29.02,30.12,29.0,2023-02-16,6398.0
RONI,78370.0,10.2408,10.22,10.235,10.2699,10.22,2023-02-16,370.0
NDSN,156171.0,243.3789,243.13,242.48,244.84,242.2,2023-02-16,6681.0
TREX,1131030.0,55.7221,55.4,55.66,56.15,55.0,2023-02-16,18865.0
RKT,2206102.0,9.065,8.95,9.02,9.2607,8.8486,2023-02-16,15812.0
KRP,164895.0,15.94,15.83,15.92,16.11,15.75,2023-02-16,1780.0
KNSA,297818.0,13.5365,13.37,13.58,13.74,13.26,2023-02-16,4662.0
GENC,26123.0,12.4861,12.76,12.56,12.76,12.1238,2023-02-16,765.0
IDME,9165.0,19.9256,19.88,19.8835,19.96,19.85,2023-02-16,58.0
IWV,74362.0,238.7423,237.67,237.08,239.84,237.08,2023-02-16,1205.0
BOIL,3034391.2,118.212,123.0,115.8,123.6,112.6,2023-02-16,115017.0
DSEY,301941.0,6.0512,6.03,5.99,6.2,5.9156,2023-02-16,3737.0
NMAI,67295.0,12.5391,12.47,12.5,12.62,12.45,2023-02-16,300.0
KN,727942.0,17.7826,17.91,17.74,17.97,17.595,2023-02-16,8587.0
MXL,447026.0,36.9395,36.46,36.92,37.38,36.27,2023-02-16,8712.0
VFC,4795347.0,27.3837,27.6,27.07,27.845,27.05,2023-02-16,40391.0
THC,1299113.0,61.7629,61.06,61.33,62.45,60.94,2023-02-16,16936.0
STVN,387895.0,21.8491,20.89,21.62,22.33,20.635,2023-02-16,3953.0
PSDN,52425.0,1.5751,1.54,1.5750000000000002,1.6,1.5350000000000001,2023-02-16,129.0
LGMK,33062.6,4.356,4.344,4.284,4.54,4.19,2023-02-16,1205.0
ATAI,400473.0,1.8037,1.8,1.81,1.8399999999999999,1.75,2023-02-16,3844.0
OMC,1274956.0,93.0643,92.15,93.2,93.57,92.03,2023-02-16,22470.0
POAI,14310.35,8.75,8.78,8.684,9.216,8.204,2023-02-16,521.0
VNET,1828222.0,4.8669,4.84,4.78,4.97,4.78,2023-02-16,12533.0
DDIV,3354.0,30.3003,30.16,30.29,30.53,30.11,2023-02-16,26.0
SKM,1075192.0,19.2755,19.4,19.32,19.4399,19.05,2023-02-16,9943.0
SCM,122608.0,15.5752,15.51,15.49,15.7299,15.45,2023-02-16,1380.0
DWAS,9690.0,78.7672,77.7,78.63,79.205,77.7,2023-02-16,156.0
ABIO,13326.0,2.1184,2.11,2.09,2.13,2.08,2023-02-16,121.0
SP,95465.0,38.7424,38.75,38.83,39.45,38.19,2023-02-16,2122.0
SABS,2843.5,6.704,7.074,6.602,7.074,6.6,2023-02-16,133.0
SCHWpD,72960.0,24.9146,24.9,24.9,24.9999,24.8,2023-02-16,771.0
APTV,2014866.0,122.0065,120.73,120.73,123.31,120.51,2023-02-16,32957.0
CRNX,331639.0,19.9381,19.65,20.12,20.22,19.285,2023-02-16,6261.0
TM,303213.0,142.8113,141.4,142.7,143.66,141.32,2023-02-16,8399.0
GGAAW,1201.0,0.08356000000000001,0.10010000000000001,0.0806,0.10010000000000001,0.0806,2023-02-16,22.0
FNCL,62491.0,51.7959,51.66,51.61,52.0,51.5685,2023-02-16,739.0
OSG,230111.0,3.831,3.89,3.81,3.9,3.8,2023-02-16,1631.0
CAC,31727.0,41.6915,41.43,41.65,41.8899,41.265,2023-02-16,924.0
TK,808030.0,5.2578,5.27,5.28,5.31,5.18,2023-02-16,6136.0
CEE,26919.0,9.1568,9.1,9.17,9.21,9.1,2023-02-16,194.0
CHNR,3629.2,4.0645,4.15,4.2,4.2,4.0,2023-02-16,75.0
SIEN,75706.0,1.8321,1.72,1.85,1.892,1.72,2023-02-16,443.0
HEZU,58946.0,31.6614,31.52,31.62,31.765,31.49,2023-02-16,978.0
SNTI,43514.0,1.6285,1.63,1.6400000000000001,1.6600000000000001,1.5899999999999999,2023-02-16,386.0
EDV,466942.0,85.7695,86.12,85.43,86.29,85.14,2023-02-16,5121.0
BMLpL,33433.0,20.7159,20.78,20.73,20.78,20.6,2023-02-16,169.0
DHF,323532.0,2.2923999999999998,2.3,2.3,2.3001,2.2800000000000002,2023-02-16,781.0
FRCpI,8979.0,23.7824,23.77,23.99,24.0,23.73,2023-02-16,545.0
HTZWW,491286.0,10.9833,10.55,10.94,11.1499,10.52,2023-02-16,3206.0
EPR,368600.0,42.7472,42.58,42.5,43.205,42.37,2023-02-16,6234.0
EWZS,15590.0,11.8938,11.86,12.03,12.03,11.75,2023-02-16,115.0
FRNW,8314.0,22.785800000000002,22.9,22.5366,22.9,22.5366,2023-02-16,162.0
KIRK,74737.0,3.4868,3.48,3.44,3.5700000000000003,3.42,2023-02-16,753.0
FRLN,5684.1333,8.0085,8.322,8.1,8.3475,7.8,2023-02-16,204.0
GFS,2370490.0,69.921,67.68,69.53,71.18,67.6,2023-02-16,28833.0
USO,2369692.0,68.8423,68.82,68.45,69.385,68.415,2023-02-16,12126.0
FNBpE,18292.0,25.3568,25.31,25.33,25.5,25.27,2023-02-16,177.0
SBIO,9697.0,31.1679,31.2,31.0909,31.26,31.03,2023-02-16,102.0
TCBI,416303.0,65.4954,65.9,65.45,66.13,64.97,2023-02-16,8667.0
MSBI,78752.0,25.9854,25.65,26.06,26.29,25.575,2023-02-16,1589.0
SITE,473037.0,152.8059,153.79,152.43,155.64,151.15,2023-02-16,11284.0
CDLX,419021.0,7.0219,7.03,7.0,7.27,6.765,2023-02-16,4472.0
QH,71843.0,1.6088,1.56,1.6099999999999999,1.7299,1.54,2023-02-16,210.0
JSPR,344539.1,19.321,17.4,18.3,19.37,17.1,2023-02-16,12214.0
IIIV,155269.0,25.176,25.06,25.16,25.6646,24.66,2023-02-16,3125.0
SQSP,590415.0,23.4601,23.4,23.25,24.05,23.18,2023-02-16,8224.0
BKT,37706.0,12.8044,12.83,12.81,12.84,12.7667,2023-02-16,306.0
MITK,274683.0,9.6621,9.68,9.72,9.81,9.3592,2023-02-16,3648.0
SPCE,16184071.0,6.1267,6.04,5.98,6.31,5.84,2023-02-16,67110.0
IXJ,79867.0,83.0241,82.93,82.83,83.425,82.6,2023-02-16,1091.0
PRF,257285.0,32.7125,32.58,32.582,32.8796,32.532,2023-02-16,663.0
CPT,766271.0,120.2586,119.94,120.05,121.46,119.235,2023-02-16,16587.0
LICY,1207734.0,6.0599,6.06,5.95,6.185,5.95,2023-02-16,10069.0
EUSB,41597.0,42.5178,42.5,42.4794,42.5699,42.45,2023-02-16,182.0
PRQR,925750.0,2.8984,2.88,2.89,2.93,2.86,2023-02-16,5250.0
CNOB,140864.0,24.1254,24.12,24.06,24.415,23.9,2023-02-16,2669.0
MBND,20957.0,26.9465,27.03,26.935,27.03,26.93,2023-02-16,147.0
KMLM,48023.0,30.0112,30.14,30.07,30.14,29.87,2023-02-16,331.0
BSTP,1177.0,25.4085,25.35,25.2769,25.44,25.2769,2023-02-16,7.0
NTNX,936271.0,28.7179,28.73,28.46,29.08,28.425,2023-02-16,14393.0
BCSA,571.0,10.2303,10.23,10.23,10.23,10.23,2023-02-16,27.0
ICAD,174114.0,2.1592000000000002,2.15,2.26,2.26,2.08,2023-02-16,968.0
ZFOX,24675.0,2.6179,2.61,2.55,2.7499000000000002,2.5,2023-02-16,264.0
PEY,274317.0,21.0407,21.0,21.0,21.16,20.86,2023-02-16,1157.0
VAPO,61713.375,8.848,8.8,8.64,9.36,8.56,2023-02-16,1920.0
BAK,1122332.0,7.8307,7.8100000000000005,7.8,7.915,7.73,2023-02-16,7068.0
XAR,65181.0,121.0992,120.5,120.2,121.9294,120.02,2023-02-16,1131.0
MYOV,509187.0,26.9417,26.94,26.93,26.96,26.92,2023-02-16,3586.0
KMPR,214422.0,64.9791,64.92,64.95,65.35,64.525,2023-02-16,4857.0
RAAS,20011.0,2.541,2.52,2.5065,2.604,2.5065,2023-02-16,201.0
CVS,8317915.0,88.0327,87.47,87.97,88.62,87.35,2023-02-16,70041.0
JHAA,29801.0,9.2168,9.22,9.2163,9.235,9.21,2023-02-16,38.0
LGST,41773.0,10.799,10.84,10.78,11.23,10.56,2023-02-16,280.0
MMV,88967.0,1.9215,1.96,1.9300000000000002,1.96,1.87,2023-02-16,512.0
BIB,14634.0,57.3366,57.52,56.92,58.04,56.8267,2023-02-16,249.0
HCSG,2710392.0,13.4504,12.55,13.54,13.685,12.55,2023-02-16,21949.0
ACEL,211078.0,9.3829,9.46,9.32,9.54,9.275,2023-02-16,2852.0
MVT,87874.0,10.8085,10.88,10.75,10.88,10.75,2023-02-16,365.0
BRSH,3126.52,10.05,10.185,10.45,10.5,9.6875,2023-02-16,173.0
SAVA,832019.0,26.4716,26.19,26.35,26.95,25.8,2023-02-16,9742.0
TSLA,229558338.0,211.3216,210.78,202.04,217.65,201.84,2023-02-16,2110972.0
WIW,167155.0,9.3362,9.31,9.3,9.36,9.3,2023-02-16,776.0
LILA,224905.0,8.9273,8.73,9.02,9.09,8.66,2023-02-16,3552.0
REMX,58062.0,88.5583,88.16,88.22,89.59,87.4501,2023-02-16,1107.0
EMNT,5230.0,97.532,97.48,97.53,97.55,97.48,2023-02-16,45.0
NU,54488724.0,5.2791,5.04,5.34,5.53,4.875,2023-02-16,90095.0
LPRO,636481.0,9.1605,9.22,9.01,9.325,9.0,2023-02-16,7679.0
CLVR,8155.6333,14.079,14.1,13.2,14.967,12.924,2023-02-16,783.0
APEI,95702.0,12.4405,12.56,12.49,12.71,12.23,2023-02-16,1858.0
ALXO,133346.0,7.4917,7.76,7.47,8.0,7.27,2023-02-16,1888.0
WRB,974572.0,66.8918,67.01,66.85,67.54,66.6,2023-02-16,15999.0
SMBC,57947.0,47.9767,48.0,47.88,48.28,47.76,2023-02-16,1443.0
MYO,814506.0,0.6212,0.612,0.6128,0.6341,0.5901000000000001,2023-02-16,1116.0
FGD,185742.0,23.2532,23.09,23.2,23.32,23.06,2023-02-16,433.0
MP,1523687.0,34.0115,33.84,33.67,34.4625,33.6,2023-02-16,20136.0
CIBR,430231.0,42.5542,42.3,42.19,42.73,42.19,2023-02-16,3238.0
LOV,48623.0,0.9644,1.0,0.9506,1.01,0.9500000000000001,2023-02-16,182.0
KSA,220776.0,38.0405,37.99,38.04,38.135,37.95,2023-02-16,3307.0
EMB,8208860.0,85.5895,85.69,85.34,85.8078,85.32,2023-02-16,38732.0
